date,num_headnotes,num_opinions,year
1829-11-01,29,230,1829
1828-05-01,28,62,1828
1836-02-01,27,616,1836
1999-07-15,46,3936,1999
1999-10-07,39,1788,1999
1999-10-07,49,8076,1999
1999-06-10,38,848,1999
1999-07-01,64,3050,1999
1999-10-14,36,909,1999
1999-10-14,35,303,1999
1999-09-16,35,105,1999
1999-09-16,43,1208,1999
1999-06-17,28,98,1999
1999-06-03,60,2430,1999
1999-10-14,45,2148,1999
1999-09-16,38,146,1999
1999-09-30,40,1307,1999
1999-06-17,31,189,1999
1999-06-03,33,1979,1999
1999-09-16,50,4334,1999
1999-07-08,54,2342,1999
1999-10-14,43,2148,1999
1999-09-23,38,1858,1999
1999-07-15,36,2340,1999
1999-06-17,93,2965,1999
1999-06-24,27,235,1999
1999-07-22,81,4209,1999
1999-07-08,16,61,1999
1999-06-17,19,89,1999
1999-07-08,23,176,1999
1999-06-10,75,4307,1999
2001-06-14,56,1665,2001
2001-06-28,44,9592,2001
2001-07-09,42,2001,2001
2001-06-07,31,189,2001
2001-07-09,30,305,2001
2001-07-09,42,1234,2001
2001-06-07,26,596,2001
2001-07-09,47,2970,2001
2001-05-24,90,1770,2001
2001-06-07,61,376,2001
1998-01-15,48,2576,1998
1998-01-22,48,704,1998
1998-01-22,38,1741,1998
1998-01-29,53,1470,1998
1998-02-05,37,1682,1998
1998-02-19,68,8480,1998
1998-01-29,37,1925,1998
1998-02-05,52,3850,1998
1998-02-12,43,1962,1998
1998-01-29,46,2950,1998
1998-02-19,28,134,1998
1998-01-15,51,4547,1998
1998-02-12,50,2301,1998
1998-02-12,59,1994,1998
1998-01-29,229,5352,1998
1998-02-19,73,3344,1998
1997-07-07,26,106,1997
1997-06-16,83,2962,1997
1997-06-30,93,3554,1997
1997-09-25,38,2048,1997
1997-06-09,28,443,1997
1997-07-07,41,870,1997
1997-06-30,40,1409,1997
1997-06-23,40,1244,1997
1997-09-25,28,84,1997
1997-06-23,27,94,1997
1997-06-16,45,1006,1997
1997-09-25,37,1039,1997
1997-06-09,37,173,1997
1997-06-30,33,4771,1997
1997-09-18,44,3253,1997
1997-09-16,51,197,1997
1997-09-18,58,3916,1997
1999-06-17,37,763,1999
1999-07-01,44,4006,1999
1999-07-01,29,476,1999
1999-09-23,37,522,1999
1999-06-10,94,3987,1999
1999-10-07,44,2654,1999
1999-09-30,13,91,1999
1999-06-24,55,7466,1999
1999-06-17,17,260,1999
1999-06-02,28,277,1999
1999-09-09,43,175,1999
1999-09-16,50,2734,1999
1999-10-14,99,1910,1999
1999-06-24,37,1887,1999
1999-07-15,40,737,1999
1999-06-24,32,2194,1999
1999-09-23,54,128,1999
1999-10-14,38,768,1999
1999-06-03,38,2073,1999
1999-06-10,42,406,1999
1999-06-24,90,1050,1999
1999-07-08,28,188,1999
1999-07-15,106,3746,1999
1999-10-07,61,3351,1999
1999-06-17,16,55,1999
1999-07-22,52,3353,1999
1997-10-09,28,423,1997
1997-12-04,28,134,1997
1997-10-30,26,149,1997
1997-12-04,41,1745,1997
1997-10-02,44,7040,1997
1997-10-23,39,1222,1997
1997-10-09,37,2450,1997
1997-12-11,25,424,1997
1997-10-23,49,2578,1997
1997-12-04,54,2957,1997
1997-10-02,59,1752,1997
1997-11-06,39,2793,1997
1997-12-04,42,1989,1997
1997-11-06,55,4935,1997
1997-12-11,51,346,1997
1997-10-09,51,1736,1997
1997-10-30,31,486,1997
1997-12-04,38,935,1997
1997-11-20,54,1906,1997
1997-10-09,28,103,1997
1997-12-18,38,1244,1997
1997-12-11,42,1470,1997
1997-12-11,38,1062,1997
1997-12-04,39,1340,1997
1997-10-23,63,787,1997
1997-10-02,38,1653,1997
1996-10-15,92,373,1996
1996-11-18,44,2688,1996
1996-11-11,46,1169,1996
1996-10-21,33,153,1996
1996-11-11,46,416,1996
1996-12-16,65,1763,1996
1996-09-30,57,1884,1996
1996-10-07,38,992,1996
1996-10-28,41,262,1996
