date,num_headnotes,num_opinions
1997-11-21,48,7346
1998-01-29,82,5903
1997-12-17,45,3339
1997-10-23,82,2957
1997-09-09,43,1819
1997-12-09,46,1951
1997-10-06,50,2289
1998-01-13,83,3956
1997-10-14,47,7473
1997-09-09,81,16743
1997-09-30,81,1554
1997-05-05,54,5242
1997-05-19,53,1230
1997-01-09,68,4248
1997-03-14,49,1596
1997-02-11,78,4608
1997-03-07,85,4208
1997-02-06,53,1639
1997-07-15,53,4819
1997-04-30,49,1638
1997-08-12,49,5296
1997-06-10,95,5918
1997-05-12,57,2775
1996-09-27,50,3526
1997-07-10,59,1985
1997-04-30,59,4456
1997-01-14,91,3732
1997-03-26,61,2581
1997-08-08,88,3401
1997-07-24,41,1072
1997-06-18,105,3290
1997-02-07,102,1897
1996-12-04,90,4493
1998-07-30,123,21882
1998-09-08,50,3276
1998-11-23,46,2343
1998-10-14,52,2805
1999-01-21,54,3929
1998-10-20,82,2887
1999-01-28,90,4889
1998-11-23,81,5682
1998-08-11,52,3612
1997-09-24,57,1770
1997-11-03,58,6771
1997-10-01,46,4753
1997-09-12,71,5340
1997-08-13,60,4582
1997-11-21,42,1032
1997-12-22,63,2487
1998-02-11,133,3615
1997-10-17,67,7279
1998-01-21,96,3405
1997-11-20,59,3050
1998-02-03,93,12827
1997-10-08,53,1663
1997-09-15,47,5229
1997-09-24,53,2403
1998-02-05,44,4697
1997-10-21,53,3369
1997-12-09,50,3563
1997-09-17,50,2293
1997-06-04,56,2650
1997-11-06,80,2052
1997-11-12,72,3362
1998-01-13,44,3060
1998-01-07,64,3328
1997-11-14,70,4707
1997-09-24,140,1736
1997-12-15,58,4316
1997-11-10,58,5103
1997-12-15,52,1454
1997-12-03,43,3328
1997-10-30,47,1703
1997-08-20,54,801
1997-11-06,51,2711
1997-08-14,58,1968
1997-11-13,52,8041
1997-12-22,45,10242
1997-11-21,43,1013
1997-07-08,38,4730
1997-11-26,58,2537
1998-01-08,93,5101
1997-09-18,68,1333
1997-08-25,57,2013
1998-05-26,79,2898
1998-05-11,99,2681
1998-04-21,58,1995
1998-02-19,56,2915
1998-07-01,54,5373
1998-08-14,53,2365
1998-03-23,56,2593
1998-02-11,57,1611
1998-03-12,238,3082
1998-07-14,46,2837
1998-08-05,98,3118
1998-01-22,56,1244
1998-02-27,57,6130
1998-07-15,49,4676
1998-06-30,49,2411
1998-09-15,158,6437
1998-09-04,89,6143
1998-06-17,85,3662
1998-08-25,71,3221
1998-07-22,89,2884
1998-04-13,80,2360
1998-09-24,91,5084
1998-10-14,52,1705
1998-09-24,63,2055
1998-07-08,44,2507
1998-10-22,58,5594
1998-09-24,58,6263
1998-10-29,54,3056
1998-12-18,42,2708
1998-11-24,44,7177
1998-12-16,58,2447
1998-09-11,88,2275
1998-09-22,60,2125
1998-09-29,45,3302
1998-10-14,55,4092
1998-10-20,57,1263
1998-11-23,51,1222
1998-11-16,83,4612
1998-12-01,58,2505
1998-12-23,64,4488
1998-07-14,70,4323
1998-10-23,49,2547
1998-10-08,183,5092
1998-10-29,56,1894
1998-01-28,44,1754
1997-12-22,55,3583
1997-12-12,48,2433
1998-01-14,50,4096
1997-09-17,53,2617
1997-09-11,76,3669
1997-11-14,52,3178
1997-11-17,49,9493
1997-11-18,48,4607
1997-12-15,71,2363
1997-11-07,52,1725
1997-12-15,50,3027
1997-09-24,48,2502
1997-09-08,48,4227
1997-07-25,54,1961
1998-01-16,54,1862
1997-07-08,50,2278
1997-10-23,92,2143
1998-01-08,47,3405
1997-12-18,85,4547
1997-11-05,70,4259
1997-12-15,93,7902
1996-05-30,77,5060
1996-05-31,102,2590
1996-09-09,105,6603
1996-07-22,186,6463
1996-12-06,50,2032
1997-01-16,69,3751
1996-06-21,71,2561
1996-07-11,50,2567
1996-11-18,69,1916
1996-12-02,44,5043
1996-09-27,42,1495
1996-09-06,61,3475
1996-07-15,50,1720
1996-08-21,57,5668
1996-09-17,79,4582
1996-09-30,58,2927
1996-07-03,57,4610
1999-07-02,78,4939
1999-07-02,139,2477
1999-11-17,111,5404
1999-09-01,51,1565
2000-01-25,48,3297
1999-09-15,45,2045
1999-10-05,51,3361
1999-09-20,52,4815
1999-10-04,61,4126
2000-01-27,50,1836
2000-02-25,53,3377
1999-10-07,42,1770
1999-09-09,156,4388
1999-01-20,62,2464
1998-12-10,77,4004
1998-08-26,44,1354
1998-11-19,54,4818
1998-12-16,65,2700
1998-09-28,54,2054
1998-10-22,60,2312
1998-11-13,49,2164
1998-11-02,47,4505
1998-07-15,57,3287
1998-09-22,55,3528
1998-10-07,47,3518
1998-10-30,76,4110
1998-12-23,68,2985
1998-09-16,60,3776
1998-09-16,81,12375
1999-02-26,90,2391
1998-10-06,62,1468
1998-12-03,66,2221
1998-08-14,51,1812
1998-02-19,49,2435
1998-05-07,48,2540
1998-08-27,54,5770
1998-03-11,53,1868
1998-05-13,53,4428
1998-06-11,59,2674
1998-08-11,50,2041
1998-04-08,53,4503
1998-03-11,96,5618
